Start score: 70.406759376447 | combos=60 | rounds=5000
[001] NEW BEST 70.406759049572 (n=1200 r=229) t=6.5m
[002] NEW BEST 70.406759037081 (n=1200 r=233) t=12.9m
[003] NEW BEST 70.406759025036 (n=1200 r=239) t=19.7m
[004] NEW BEST 70.406759013734 (n=1200 r=241) t=26.2m
[005] NEW BEST 70.406759006311 (n=1200 r=251) t=33.0m
[006] NEW BEST 70.406758989612 (n=1200 r=257) t=40.3m
[007] NEW BEST 70.406758962397 (n=1200 r=263) t=47.2m
[008] NEW BEST 70.406758960249 (n=1200 r=269) t=54.5m
[009] NEW BEST 70.406758834167 (n=1200 r=271) t=62.0m
[010] NEW BEST 70.406758828224 (n=1200 r=277) t=69.4m
[011] NEW BEST 70.406758826900 (n=1200 r=281) t=77.0m
[012] NEW BEST 70.406758822082 (n=1200 r=283) t=84.9m
[013] NEW BEST 70.406758819708 (n=1200 r=293) t=93.1m
