Start score: 70.406759376447 | combos=60 | rounds=5000
[001] NEW BEST 70.406759051178 (n=1200 r=149) t=4.5m
[002] NEW BEST 70.406759045599 (n=1200 r=151) t=8.8m
[003] NEW BEST 70.406759025295 (n=1200 r=157) t=13.1m
[004] NEW BEST 70.406759018824 (n=1200 r=163) t=17.9m
[005] keep 70.406759018824 (cand 70.406759018824) n=1200 r=167
[006] NEW BEST 70.406759014141 (n=1200 r=173) t=27.4m
[007] NEW BEST 70.406759010784 (n=1200 r=179) t=32.6m
[008] NEW BEST 70.406758963617 (n=1200 r=181) t=37.7m
[009] NEW BEST 70.406758957238 (n=1200 r=191) t=42.9m
[010] NEW BEST 70.406758957214 (n=1200 r=193) t=48.3m
[011] NEW BEST 70.406758942180 (n=1200 r=197) t=53.8m
[012] keep 70.406758942180 (cand 70.406758942180) n=1200 r=199
[013] NEW BEST 70.406758916143 (n=1200 r=211) t=65.3m
[014] NEW BEST 70.406758906459 (n=1200 r=223) t=71.3m
[015] NEW BEST 70.406758901808 (n=1200 r=227) t=77.6m
[016] NEW BEST 70.406758890465 (n=1500 r=149) t=82.3m
[017] NEW BEST 70.406758867620 (n=1500 r=151) t=86.8m
[018] keep 70.406758867620 (cand 70.406758867620) n=1500 r=157
