Start score: 70.406759376447 | combos=60 | rounds=5000
[001] NEW BEST 70.406759056587 (n=1200 r=11) t=0.9m
[002] NEW BEST 70.406759023428 (n=1200 r=13) t=1.7m
[003] NEW BEST 70.406758994533 (n=1200 r=17) t=2.6m
[004] NEW BEST 70.406758953484 (n=1200 r=19) t=3.5m
[005] NEW BEST 70.406758877071 (n=1200 r=23) t=4.4m
[006] NEW BEST 70.406758849342 (n=1200 r=29) t=5.5m
[007] NEW BEST 70.406758838288 (n=1200 r=31) t=6.7m
[008] NEW BEST 70.406758811191 (n=1200 r=37) t=8.1m
[009] keep 70.406758811191 (cand 70.406758811191) n=1200 r=41
[010] keep 70.406758811191 (cand 70.406758811191) n=1200 r=43
[011] NEW BEST 70.406758810807 (n=1200 r=47) t=12.6m
[012] NEW BEST 70.406758809427 (n=1200 r=53) t=14.6m
[013] NEW BEST 70.406758769880 (n=1200 r=59) t=16.6m
[014] NEW BEST 70.406758754275 (n=1200 r=61) t=18.4m
[015] keep 70.406758754275 (cand 70.406758754275) n=1200 r=67
[016] NEW BEST 70.406758754115 (n=1500 r=11) t=21.3m
[017] NEW BEST 70.406758734281 (n=1500 r=13) t=22.0m
[018] NEW BEST 70.406758731807 (n=1500 r=17) t=22.9m
[019] NEW BEST 70.406758674613 (n=1500 r=19) t=23.8m
[020] NEW BEST 70.406758669230 (n=1500 r=23) t=24.8m
[021] keep 70.406758669230 (cand 70.406758669230) n=1500 r=29
[022] keep 70.406758669230 (cand 70.406758669230) n=1500 r=31
[023] NEW BEST 70.406758664245 (n=1500 r=37) t=28.8m
[024] keep 70.406758664245 (cand 70.406758664245) n=1500 r=41
[025] keep 70.406758664245 (cand 70.406758664245) n=1500 r=43
[026] NEW BEST 70.406758662295 (n=1500 r=47) t=33.3m
[027] NEW BEST 70.406758662295 (n=1500 r=53) t=35.3m
[028] keep 70.406758662295 (cand 70.406758662295) n=1500 r=59
[029] NEW BEST 70.406758661016 (n=1500 r=61) t=39.2m
[030] keep 70.406758661016 (cand 70.406758661016) n=1500 r=67
[031] NEW BEST 70.406758654714 (n=1800 r=11) t=42.1m
[032] NEW BEST 70.406758652580 (n=1800 r=13) t=42.9m
[033] keep 70.406758652580 (cand 70.406758652580) n=1800 r=17
[034] keep 70.406758652580 (cand 70.406758652580) n=1800 r=19
[035] keep 70.406758652580 (cand 70.406758652580) n=1800 r=23
[036] NEW BEST 70.406758651045 (n=1800 r=29) t=46.9m
[037] NEW BEST 70.406758650280 (n=1800 r=31) t=48.2m
[038] NEW BEST 70.406758650261 (n=1800 r=37) t=49.8m
[039] keep 70.406758650261 (cand 70.406758650261) n=1800 r=41
[040] NEW BEST 70.406758643203 (n=1800 r=43) t=52.9m
[041] NEW BEST 70.406758641045 (n=1800 r=47) t=54.4m
[042] NEW BEST 70.406758640294 (n=1800 r=53) t=56.5m
[043] NEW BEST 70.406758617473 (n=1800 r=59) t=58.5m
[044] NEW BEST 70.406758610168 (n=1800 r=61) t=60.4m
[045] keep 70.406758610168 (cand 70.406758610168) n=1800 r=67
[046] NEW BEST 70.406758562344 (n=2000 r=11) t=63.4m
[047] NEW BEST 70.406758548990 (n=2000 r=13) t=64.3m
[048] keep 70.406758548990 (cand 70.406758548990) n=2000 r=17
[049] keep 70.406758548990 (cand 70.406758548990) n=2000 r=19
[050] NEW BEST 70.406758539890 (n=2000 r=23) t=67.2m
[051] invalid n=2000 r=29: Overlapping trees in group 197
[052] NEW BEST 70.406758537354 (n=2000 r=31) t=69.3m
[053] keep 70.406758537354 (cand 70.406758537354) n=2000 r=37
[054] NEW BEST 70.406758532999 (n=2000 r=41) t=72.4m
[055] NEW BEST 70.406758530181 (n=2000 r=43) t=74.3m
[056] keep 70.406758530181 (cand 70.406758530181) n=2000 r=47
[057] NEW BEST 70.406758527823 (n=2000 r=53) t=77.7m
[058] keep 70.406758527823 (cand 70.406758527823) n=2000 r=59
[059] keep 70.406758527823 (cand 70.406758527823) n=2000 r=61
[060] keep 70.406758527823 (cand 70.406758527823) n=2000 r=67
[061] NEW BEST 70.406758508155 (n=1200 r=11) t=85.2m
[062] NEW BEST 70.406758500797 (n=1200 r=13) t=85.9m
[063] NEW BEST 70.406758495076 (n=1200 r=17) t=86.7m
[064] keep 70.406758495076 (cand 70.406758495076) n=1200 r=19
[065] NEW BEST 70.406758492755 (n=1200 r=23) t=88.9m
[066] NEW BEST 70.406758486897 (n=1200 r=29) t=90.1m
[067] NEW BEST 70.406758485372 (n=1200 r=31) t=91.2m
[068] NEW BEST 70.406758469533 (n=1200 r=37) t=92.6m
[069] keep 70.406758469533 (cand 70.406758469533) n=1200 r=41
[070] keep 70.406758469533 (cand 70.406758469533) n=1200 r=43
