Start score: 70.406759376447 | combos=60 | rounds=5000
[001] NEW BEST 70.406758995871 (n=1200 r=71) t=2.6m
[002] NEW BEST 70.406758869788 (n=1200 r=73) t=4.8m
[003] NEW BEST 70.406758859165 (n=1200 r=79) t=7.2m
[004] NEW BEST 70.406758844474 (n=1200 r=83) t=9.8m
[005] NEW BEST 70.406758841135 (n=1200 r=89) t=12.4m
[006] NEW BEST 70.406758837347 (n=1200 r=97) t=15.6m
[007] NEW BEST 70.406758807537 (n=1200 r=101) t=18.5m
[008] NEW BEST 70.406758801660 (n=1200 r=103) t=21.6m
[009] NEW BEST 70.406758791172 (n=1200 r=107) t=24.8m
[010] NEW BEST 70.406758787222 (n=1200 r=109) t=27.9m
[011] NEW BEST 70.406758784097 (n=1200 r=113) t=31.4m
[012] NEW BEST 70.406758781803 (n=1200 r=127) t=35.2m
[013] NEW BEST 70.406758768865 (n=1200 r=131) t=38.9m
[014] NEW BEST 70.406758768688 (n=1200 r=137) t=42.9m
[015] NEW BEST 70.406758748348 (n=1200 r=139) t=47.0m
[016] NEW BEST 70.406758675340 (n=1500 r=71) t=49.4m
[017] NEW BEST 70.406758667133 (n=1500 r=73) t=51.8m
[018] NEW BEST 70.406758663895 (n=1500 r=79) t=54.1m
[019] NEW BEST 70.406758632435 (n=1500 r=83) t=57.0m
[020] NEW BEST 70.406758625487 (n=1500 r=89) t=59.6m
[021] keep 70.406758625487 (cand 70.406758625487) n=1500 r=97
[022] NEW BEST 70.406758623897 (n=1500 r=101) t=65.8m
[023] keep 70.406758623897 (cand 70.406758623897) n=1500 r=103
[024] keep 70.406758623897 (cand 70.406758623897) n=1500 r=107
[025] NEW BEST 70.406758621947 (n=1500 r=109) t=75.7m
[026] NEW BEST 70.406758620536 (n=1500 r=113) t=79.3m
[027] keep 70.406758620536 (cand 70.406758620536) n=1500 r=127
[028] keep 70.406758620536 (cand 70.406758620536) n=1500 r=131
[029] NEW BEST 70.406758619269 (n=1500 r=137) t=91.2m
[030] NEW BEST 70.406758617879 (n=1500 r=139) t=95.5m
