Start score: 70.540111966929 | combos=60 | rounds=5000
[001] NEW BEST 70.540111533760 (n=1200 r=149) t=4.4m
[002] NEW BEST 70.540110973857 (n=1200 r=151) t=8.4m
[003] keep 70.540110973857 (cand 70.540110973857) n=1200 r=157
[004] NEW BEST 70.540096024677 (n=1200 r=163) t=17.1m
[005] NEW BEST 70.540086585318 (n=1200 r=167) t=21.4m
[006] NEW BEST 70.540075744253 (n=1200 r=173) t=25.7m
[007] NEW BEST 70.540075437722 (n=1200 r=179) t=30.3m
[008] keep 70.540075437722 (cand 70.540075437722) n=1200 r=181
[009] keep 70.540075437722 (cand 70.540075437722) n=1200 r=191
