Start score: 70.416026719854 | combos=60 | rounds=5000
[001] NEW BEST 70.416025936909 (n=1200 r=11) t=0.8m
[002] NEW BEST 70.416025472285 (n=1200 r=13) t=1.7m
[003] NEW BEST 70.416025459529 (n=1200 r=17) t=2.6m
[004] NEW BEST 70.416025457028 (n=1200 r=19) t=3.6m
[005] NEW BEST 70.416025423900 (n=1200 r=23) t=4.5m
[006] keep 70.416025423900 (cand 70.416025423900) n=1200 r=29
[007] NEW BEST 70.416025421867 (n=1200 r=31) t=6.9m
[008] keep 70.416025421867 (cand 70.416025421867) n=1200 r=37
[009] NEW BEST 70.416025366420 (n=1200 r=41) t=9.9m
[010] keep 70.416025366420 (cand 70.416025366420) n=1200 r=43
[011] NEW BEST 70.416025365293 (n=1200 r=47) t=13.1m
[012] keep 70.416025365293 (cand 70.416025365293) n=1200 r=53
[013] NEW BEST 70.416025364367 (n=1200 r=59) t=17.3m
[014] NEW BEST 70.416025357286 (n=1200 r=61) t=19.2m
[015] NEW BEST 70.416025356537 (n=1200 r=67) t=21.6m
[016] keep 70.416025356537 (cand 70.416025356537) n=1500 r=11
[017] keep 70.416025356537 (cand 70.416025356537) n=1500 r=13
[018] keep 70.416025356537 (cand 70.416025356537) n=1500 r=17
[019] NEW BEST 70.416025351591 (n=1500 r=19) t=24.8m
[020] keep 70.416025351591 (cand 70.416025351591) n=1500 r=23
[021] NEW BEST 70.416025347785 (n=1500 r=29) t=26.9m
[022] keep 70.416025347785 (cand 70.416025347785) n=1500 r=31
[023] keep 70.416025347785 (cand 70.416025347785) n=1500 r=37
[024] keep 70.416025347785 (cand 70.416025347785) n=1500 r=41
[025] keep 70.416025347785 (cand 70.416025347785) n=1500 r=43
[026] keep 70.416025347785 (cand 70.416025347785) n=1500 r=47
[027] keep 70.416025347785 (cand 70.416025347785) n=1500 r=53
[028] keep 70.416025347785 (cand 70.416025347785) n=1500 r=59
[029] keep 70.416025347785 (cand 70.416025347785) n=1500 r=61
[030] NEW BEST 70.416025317457 (n=1500 r=67) t=43.5m
[031] NEW BEST 70.416025315818 (n=1800 r=11) t=44.3m
[032] keep 70.416025315818 (cand 70.416025315818) n=1800 r=13
