Start score: 70.416026719854 | combos=60 | rounds=5000
[001] NEW BEST 70.416025929829 (n=1200 r=71) t=2.7m
[002] NEW BEST 70.416025921283 (n=1200 r=73) t=4.9m
[003] NEW BEST 70.416025907872 (n=1200 r=79) t=7.6m
[004] NEW BEST 70.416025672236 (n=1200 r=83) t=10.3m
[005] NEW BEST 70.416025672026 (n=1200 r=89) t=13.0m
[006] NEW BEST 70.416025410218 (n=1200 r=97) t=16.5m
[007] NEW BEST 70.416025397462 (n=1200 r=101) t=19.5m
[008] NEW BEST 70.416025289706 (n=1200 r=103) t=23.0m
[009] NEW BEST 70.416025206749 (n=1200 r=107) t=26.2m
[010] NEW BEST 70.416025201841 (n=1200 r=109) t=29.6m
[011] keep 70.416025201841 (cand 70.416025201841) n=1200 r=113
[012] NEW BEST 70.416024995164 (n=1200 r=127) t=37.2m
[013] NEW BEST 70.416024972653 (n=1200 r=131) t=41.2m
[014] keep 70.416024972653 (cand 70.416024972653) n=1200 r=137
