Start score: 70.416026719854 | combos=60 | rounds=5000
[001] NEW BEST 70.416025919416 (n=1200 r=149) t=4.7m
[002] keep 70.416025919416 (cand 70.416025919416) n=1200 r=151
[003] NEW BEST 70.416025785413 (n=1200 r=157) t=13.7m
[004] NEW BEST 70.416025783804 (n=1200 r=163) t=18.7m
[005] NEW BEST 70.416025770392 (n=1200 r=167) t=23.6m
[006] NEW BEST 70.416025766911 (n=1200 r=173) t=28.5m
[007] NEW BEST 70.416025765618 (n=1200 r=179) t=33.7m
[008] NEW BEST 70.416025754713 (n=1200 r=181) t=39.4m
[009] NEW BEST 70.416025739039 (n=1200 r=191) t=45.0m
