Start score: 70.439067976232 | combos=60 | rounds=5000
[001] NEW BEST 70.439066777882 (n=1200 r=71) t=2.7m
[002] NEW BEST 70.439066746133 (n=1200 r=73) t=5.0m
[003] NEW BEST 70.439066738929 (n=1200 r=79) t=7.7m
[004] NEW BEST 70.439065212412 (n=1200 r=83) t=10.6m
[005] NEW BEST 70.439065143384 (n=1200 r=89) t=13.4m
[006] NEW BEST 70.439064932039 (n=1200 r=97) t=16.8m
[007] NEW BEST 70.439064835149 (n=1200 r=101) t=19.7m
[008] NEW BEST 70.439063635259 (n=1200 r=103) t=23.2m
[009] NEW BEST 70.439063603844 (n=1200 r=107) t=26.6m
[010] NEW BEST 70.439063581382 (n=1200 r=109) t=29.8m
[011] NEW BEST 70.439063572990 (n=1200 r=113) t=33.4m
[012] NEW BEST 70.439063480104 (n=1200 r=127) t=37.4m
[013] NEW BEST 70.439063406027 (n=1200 r=131) t=41.3m
[014] NEW BEST 70.439063247966 (n=1200 r=137) t=45.4m
[015] NEW BEST 70.439063228510 (n=1200 r=139) t=49.6m
[016] NEW BEST 70.439061664860 (n=1500 r=71) t=51.8m
[017] NEW BEST 70.439060823264 (n=1500 r=73) t=54.9m
[018] NEW BEST 70.439060640767 (n=1500 r=79) t=57.3m
[019] NEW BEST 70.439060479864 (n=1500 r=83) t=60.1m
[020] NEW BEST 70.439060263502 (n=1500 r=89) t=63.1m
[021] NEW BEST 70.439059892594 (n=1500 r=97) t=66.2m
[022] NEW BEST 70.439059791191 (n=1500 r=101) t=69.5m
[023] NEW BEST 70.439059789117 (n=1500 r=103) t=73.1m
[024] keep 70.439059789117 (cand 70.439059789117) n=1500 r=107
[025] NEW BEST 70.439059620011 (n=1500 r=109) t=80.1m
[026] NEW BEST 70.439059604916 (n=1500 r=113) t=83.4m
[027] NEW BEST 70.439059602209 (n=1500 r=127) t=87.6m
[028] NEW BEST 70.439059421141 (n=1500 r=131) t=91.5m
[029] NEW BEST 70.439059395464 (n=1500 r=137) t=96.0m
[030] NEW BEST 70.439059393774 (n=1500 r=139) t=100.2m
[031] NEW BEST 70.439058344282 (n=1800 r=71) t=102.8m
[032] NEW BEST 70.439058336339 (n=1800 r=73) t=105.4m
[033] NEW BEST 70.439058157070 (n=1800 r=79) t=107.9m
[034] NEW BEST 70.439056545092 (n=1800 r=83) t=111.0m
[035] NEW BEST 70.439055779762 (n=1800 r=89) t=114.0m
[036] NEW BEST 70.439055775342 (n=1800 r=97) t=116.9m
[037] NEW BEST 70.439055436965 (n=1800 r=101) t=120.7m
[038] NEW BEST 70.439055143685 (n=1800 r=103) t=124.3m
[039] NEW BEST 70.439053612742 (n=1800 r=107) t=128.1m
[040] invalid n=1800 r=109: Overlapping trees in group 053
[041] NEW BEST 70.439053168730 (n=1800 r=113) t=134.9m
[042] NEW BEST 70.439052729704 (n=1800 r=127) t=139.0m
[043] NEW BEST 70.439051974063 (n=1800 r=131) t=143.4m
[044] NEW BEST 70.439051192368 (n=1800 r=137) t=147.6m
[045] invalid n=1800 r=139: Overlapping trees in group 053
[046] NEW BEST 70.439051003239 (n=2000 r=71) t=154.2m
[047] NEW BEST 70.439050998639 (n=2000 r=73) t=157.3m
[048] invalid n=2000 r=79: Overlapping trees in group 200
[049] NEW BEST 70.439050991953 (n=2000 r=83) t=162.8m
[050] NEW BEST 70.439050662594 (n=2000 r=89) t=166.0m
[051] invalid n=2000 r=97: Overlapping trees in group 200
[052] keep 70.439050662594 (cand 70.439050662594) n=2000 r=101
[053] invalid n=2000 r=103: Overlapping trees in group 200
[054] NEW BEST 70.439050658640 (n=2000 r=107) t=179.6m
[055] NEW BEST 70.439050594442 (n=2000 r=109) t=183.3m
[056] NEW BEST 70.439050323171 (n=2000 r=113) t=187.0m
[057] invalid n=2000 r=127: Overlapping trees in group 200
[058] keep 70.439050323171 (cand 70.439050323171) n=2000 r=131
[059] invalid n=2000 r=137: Overlapping trees in group 200
[060] invalid n=2000 r=139: Overlapping trees in group 023
[061] NEW BEST 70.439050149513 (n=1200 r=71) t=206.7m
[062] NEW BEST 70.439050116234 (n=1200 r=73) t=209.1m
